Station Name,CALGARY INT'L A,,,,,,,,,,,,,,,,,,,,,,,,,
Province,ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,51.11,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-114.02,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,1084.1,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,3031093,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71877,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,YYC,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Accumulated,,,,,,,,,,,,,,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,,,,,,,,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,,,,,,,,,,,,,,,,,,,
S,More than one occurrence,,,,,,,,,,,,,,,,,,,,,,,,,
T,Trace,,,,,,,,,,,,,,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,,,,,,,,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2012-01-01,2012,1,1,,-5.7,,-15.1,,-10.4,,28.4,,0,,0,,0,,0,,0,T,,,<31,
2012-01-02,2012,1,2,,9.8,,-6.5,,1.7,,16.3,,0,,0,,0,,0,,0,T,23,E,32,E
2012-01-03,2012,1,3,,9.7,,2.9,,6.3,,11.7,,0,,0,,0,,0,,0,T,27,E,46,E
2012-01-04,2012,1,4,,15.3,,-0.2,,7.6,,10.4,,0,,0,,0,,0,,0,T,25,,72,
2012-01-05,2012,1,5,,7.2,,-1,,3.1,,14.9,,0,,0,,0,,0,,0,T,27,E,48,E
2012-01-06,2012,1,6,,3.7,,-5.4,,-0.9,,18.9,,0,,0,,0,,0,,0,T,27,E,50,E
2012-01-07,2012,1,7,,3.4,,-6.8,,-1.7,,19.7,,0,,0,,0,,0,,0,T,27,E,35,E
